,atlas,classifier,compcor_10,compute_confounds,confounds,connectome_regress,dataset,dimensionality,iter_shuffle_split,measure,motion_regress,n_regions,scores,scoring,smoothing_fwhm
0,kmeans,svc_l1,yes,no,yes,no,adnidod,100,0,correlation,no,120,[ 0.61473684],roc_auc,6.0
1,kmeans,svc_l2,yes,no,yes,no,adnidod,100,0,correlation,no,120,[ 0.74315789],roc_auc,6.0
2,kmeans,ridge,yes,no,yes,no,adnidod,100,0,correlation,no,120,[ 0.71157895],roc_auc,6.0
3,kmeans,svc_l1,yes,no,yes,no,adnidod,100,0,partial correlation,no,120,[ 0.67578947],roc_auc,6.0
4,kmeans,svc_l2,yes,no,yes,no,adnidod,100,0,partial correlation,no,120,[ 0.70526316],roc_auc,6.0
5,kmeans,ridge,yes,no,yes,no,adnidod,100,0,partial correlation,no,120,[ 0.70315789],roc_auc,6.0
6,kmeans,svc_l1,yes,no,yes,no,adnidod,100,0,tangent,no,120,[ 0.67157895],roc_auc,6.0
7,kmeans,svc_l2,yes,no,yes,no,adnidod,100,0,tangent,no,120,[ 0.68],roc_auc,6.0
8,kmeans,ridge,yes,no,yes,no,adnidod,100,0,tangent,no,120,[ 0.67578947],roc_auc,6.0
9,kmeans,svc_l1,yes,no,yes,no,adnidod,100,1,correlation,no,120,[ 0.45798319],roc_auc,6.0
10,kmeans,svc_l2,yes,no,yes,no,adnidod,100,1,correlation,no,120,[ 0.41176471],roc_auc,6.0
11,kmeans,ridge,yes,no,yes,no,adnidod,100,1,correlation,no,120,[ 0.42436975],roc_auc,6.0
12,kmeans,svc_l1,yes,no,yes,no,adnidod,100,1,partial correlation,no,120,[ 0.53151261],roc_auc,6.0
13,kmeans,svc_l2,yes,no,yes,no,adnidod,100,1,partial correlation,no,120,[ 0.46428571],roc_auc,6.0
14,kmeans,ridge,yes,no,yes,no,adnidod,100,1,partial correlation,no,120,[ 0.46218487],roc_auc,6.0
15,kmeans,svc_l1,yes,no,yes,no,adnidod,100,1,tangent,no,120,[ 0.3907563],roc_auc,6.0
16,kmeans,svc_l2,yes,no,yes,no,adnidod,100,1,tangent,no,120,[ 0.46848739],roc_auc,6.0
17,kmeans,ridge,yes,no,yes,no,adnidod,100,1,tangent,no,120,[ 0.46848739],roc_auc,6.0
18,kmeans,svc_l1,yes,no,yes,no,adnidod,100,2,correlation,no,120,[ 0.5839599],roc_auc,6.0
19,kmeans,svc_l2,yes,no,yes,no,adnidod,100,2,correlation,no,120,[ 0.61904762],roc_auc,6.0
20,kmeans,ridge,yes,no,yes,no,adnidod,100,2,correlation,no,120,[ 0.60651629],roc_auc,6.0
21,kmeans,svc_l1,yes,no,yes,no,adnidod,100,2,partial correlation,no,120,[ 0.56641604],roc_auc,6.0
22,kmeans,svc_l2,yes,no,yes,no,adnidod,100,2,partial correlation,no,120,[ 0.6641604],roc_auc,6.0
23,kmeans,ridge,yes,no,yes,no,adnidod,100,2,partial correlation,no,120,[ 0.66165414],roc_auc,6.0
24,kmeans,svc_l1,yes,no,yes,no,adnidod,100,2,tangent,no,120,[ 0.6716792],roc_auc,6.0
25,kmeans,svc_l2,yes,no,yes,no,adnidod,100,2,tangent,no,120,[ 0.68170426],roc_auc,6.0
26,kmeans,ridge,yes,no,yes,no,adnidod,100,2,tangent,no,120,[ 0.68922306],roc_auc,6.0
27,kmeans,svc_l1,yes,no,yes,no,adnidod,100,3,correlation,no,120,[ 0.56689342],roc_auc,6.0
28,kmeans,svc_l2,yes,no,yes,no,adnidod,100,3,correlation,no,120,[ 0.6031746],roc_auc,6.0
29,kmeans,ridge,yes,no,yes,no,adnidod,100,3,correlation,no,120,[ 0.59637188],roc_auc,6.0
30,kmeans,svc_l1,yes,no,yes,no,adnidod,100,3,partial correlation,no,120,[ 0.63265306],roc_auc,6.0
31,kmeans,svc_l2,yes,no,yes,no,adnidod,100,3,partial correlation,no,120,[ 0.69614512],roc_auc,6.0
32,kmeans,ridge,yes,no,yes,no,adnidod,100,3,partial correlation,no,120,[ 0.6984127],roc_auc,6.0
33,kmeans,svc_l1,yes,no,yes,no,adnidod,100,3,tangent,no,120,[ 0.64852608],roc_auc,6.0
34,kmeans,svc_l2,yes,no,yes,no,adnidod,100,3,tangent,no,120,[ 0.65986395],roc_auc,6.0
35,kmeans,ridge,yes,no,yes,no,adnidod,100,3,tangent,no,120,[ 0.66893424],roc_auc,6.0
36,kmeans,svc_l1,yes,no,yes,no,adnidod,100,4,correlation,no,120,[ 0.63058824],roc_auc,6.0
37,kmeans,svc_l2,yes,no,yes,no,adnidod,100,4,correlation,no,120,[ 0.61411765],roc_auc,6.0
38,kmeans,ridge,yes,no,yes,no,adnidod,100,4,correlation,no,120,[ 0.64235294],roc_auc,6.0
39,kmeans,svc_l1,yes,no,yes,no,adnidod,100,4,partial correlation,no,120,[ 0.65176471],roc_auc,6.0
40,kmeans,svc_l2,yes,no,yes,no,adnidod,100,4,partial correlation,no,120,[ 0.67764706],roc_auc,6.0
41,kmeans,ridge,yes,no,yes,no,adnidod,100,4,partial correlation,no,120,[ 0.68705882],roc_auc,6.0
42,kmeans,svc_l1,yes,no,yes,no,adnidod,100,4,tangent,no,120,[ 0.69176471],roc_auc,6.0
43,kmeans,svc_l2,yes,no,yes,no,adnidod,100,4,tangent,no,120,[ 0.64705882],roc_auc,6.0
44,kmeans,ridge,yes,no,yes,no,adnidod,100,4,tangent,no,120,[ 0.64470588],roc_auc,6.0
45,kmeans,svc_l1,yes,no,yes,no,adnidod,100,5,correlation,no,120,[ 0.58851675],roc_auc,6.0
46,kmeans,svc_l2,yes,no,yes,no,adnidod,100,5,correlation,no,120,[ 0.61483254],roc_auc,6.0
47,kmeans,ridge,yes,no,yes,no,adnidod,100,5,correlation,no,120,[ 0.65311005],roc_auc,6.0
48,kmeans,svc_l1,yes,no,yes,no,adnidod,100,5,partial correlation,no,120,[ 0.61961722],roc_auc,6.0
49,kmeans,svc_l2,yes,no,yes,no,adnidod,100,5,partial correlation,no,120,[ 0.5861244],roc_auc,6.0
50,kmeans,ridge,yes,no,yes,no,adnidod,100,5,partial correlation,no,120,[ 0.58373206],roc_auc,6.0
51,kmeans,svc_l1,yes,no,yes,no,adnidod,100,5,tangent,no,120,[ 0.76794258],roc_auc,6.0
52,kmeans,svc_l2,yes,no,yes,no,adnidod,100,5,tangent,no,120,[ 0.64354067],roc_auc,6.0
53,kmeans,ridge,yes,no,yes,no,adnidod,100,5,tangent,no,120,[ 0.64354067],roc_auc,6.0
54,kmeans,svc_l1,yes,no,yes,no,adnidod,100,6,correlation,no,120,[ 0.64102564],roc_auc,6.0
55,kmeans,svc_l2,yes,no,yes,no,adnidod,100,6,correlation,no,120,[ 0.5954416],roc_auc,6.0
56,kmeans,ridge,yes,no,yes,no,adnidod,100,6,correlation,no,120,[ 0.53846154],roc_auc,6.0
57,kmeans,svc_l1,yes,no,yes,no,adnidod,100,6,partial correlation,no,120,[ 0.39316239],roc_auc,6.0
58,kmeans,svc_l2,yes,no,yes,no,adnidod,100,6,partial correlation,no,120,[ 0.5982906],roc_auc,6.0
59,kmeans,ridge,yes,no,yes,no,adnidod,100,6,partial correlation,no,120,[ 0.61538462],roc_auc,6.0
60,kmeans,svc_l1,yes,no,yes,no,adnidod,100,6,tangent,no,120,[ 0.59259259],roc_auc,6.0
61,kmeans,svc_l2,yes,no,yes,no,adnidod,100,6,tangent,no,120,[ 0.64672365],roc_auc,6.0
62,kmeans,ridge,yes,no,yes,no,adnidod,100,6,tangent,no,120,[ 0.65242165],roc_auc,6.0
63,kmeans,svc_l1,yes,no,yes,no,adnidod,100,7,correlation,no,120,[ 0.56763285],roc_auc,6.0
64,kmeans,svc_l2,yes,no,yes,no,adnidod,100,7,correlation,no,120,[ 0.56280193],roc_auc,6.0
65,kmeans,ridge,yes,no,yes,no,adnidod,100,7,correlation,no,120,[ 0.57246377],roc_auc,6.0
66,kmeans,svc_l1,yes,no,yes,no,adnidod,100,7,partial correlation,no,120,[ 0.69565217],roc_auc,6.0
67,kmeans,svc_l2,yes,no,yes,no,adnidod,100,7,partial correlation,no,120,[ 0.69323671],roc_auc,6.0
