,atlas,classifier,compcor_10,compute_confounds,confounds,connectome_regress,dataset,dimensionality,iter_shuffle_split,measure,motion_regress,n_regions,scores,scoring,smoothing_fwhm
0,ica,svc_l1,yes,no,yes,no,adnidod,80,0,correlation,no,130,[ 0.47157895],roc_auc,6.0
1,ica,svc_l2,yes,no,yes,no,adnidod,80,0,correlation,no,130,[ 0.58947368],roc_auc,6.0
2,ica,ridge,yes,no,yes,no,adnidod,80,0,correlation,no,130,[ 0.58947368],roc_auc,6.0
3,ica,svc_l1,yes,no,yes,no,adnidod,80,0,partial correlation,no,130,[ 0.59578947],roc_auc,6.0
4,ica,svc_l2,yes,no,yes,no,adnidod,80,0,partial correlation,no,130,[ 0.66315789],roc_auc,6.0
5,ica,ridge,yes,no,yes,no,adnidod,80,0,partial correlation,no,130,[ 0.66105263],roc_auc,6.0
6,ica,svc_l1,yes,no,yes,no,adnidod,80,0,tangent,no,130,[ 0.60421053],roc_auc,6.0
7,ica,svc_l2,yes,no,yes,no,adnidod,80,0,tangent,no,130,[ 0.68421053],roc_auc,6.0
8,ica,ridge,yes,no,yes,no,adnidod,80,0,tangent,no,130,[ 0.68421053],roc_auc,6.0
9,ica,svc_l1,yes,no,yes,no,adnidod,80,1,correlation,no,136,[ 0.3907563],roc_auc,6.0
10,ica,svc_l2,yes,no,yes,no,adnidod,80,1,correlation,no,136,[ 0.38235294],roc_auc,6.0
11,ica,ridge,yes,no,yes,no,adnidod,80,1,correlation,no,136,[ 0.38655462],roc_auc,6.0
12,ica,svc_l1,yes,no,yes,no,adnidod,80,1,partial correlation,no,136,[ 0.64915966],roc_auc,6.0
13,ica,svc_l2,yes,no,yes,no,adnidod,80,1,partial correlation,no,136,[ 0.4789916],roc_auc,6.0
14,ica,ridge,yes,no,yes,no,adnidod,80,1,partial correlation,no,136,[ 0.48109244],roc_auc,6.0
15,ica,svc_l1,yes,no,yes,no,adnidod,80,1,tangent,no,136,[ 0.56722689],roc_auc,6.0
16,ica,svc_l2,yes,no,yes,no,adnidod,80,1,tangent,no,136,[ 0.43277311],roc_auc,6.0
17,ica,ridge,yes,no,yes,no,adnidod,80,1,tangent,no,136,[ 0.43697479],roc_auc,6.0
18,ica,svc_l1,yes,no,yes,no,adnidod,80,2,correlation,no,134,[ 0.5764411],roc_auc,6.0
19,ica,svc_l2,yes,no,yes,no,adnidod,80,2,correlation,no,134,[ 0.60651629],roc_auc,6.0
20,ica,ridge,yes,no,yes,no,adnidod,80,2,correlation,no,134,[ 0.58897243],roc_auc,6.0
21,ica,svc_l1,yes,no,yes,no,adnidod,80,2,partial correlation,no,134,[ 0.7443609],roc_auc,6.0
22,ica,svc_l2,yes,no,yes,no,adnidod,80,2,partial correlation,no,134,[ 0.72431078],roc_auc,6.0
23,ica,ridge,yes,no,yes,no,adnidod,80,2,partial correlation,no,134,[ 0.72681704],roc_auc,6.0
24,ica,svc_l1,yes,no,yes,no,adnidod,80,2,tangent,no,134,[ 0.54385965],roc_auc,6.0
25,ica,svc_l2,yes,no,yes,no,adnidod,80,2,tangent,no,134,[ 0.70175439],roc_auc,6.0
26,ica,ridge,yes,no,yes,no,adnidod,80,2,tangent,no,134,[ 0.70676692],roc_auc,6.0
27,ica,svc_l1,yes,no,yes,no,adnidod,80,3,correlation,no,139,[ 0.53514739],roc_auc,6.0
28,ica,svc_l2,yes,no,yes,no,adnidod,80,3,correlation,no,139,[ 0.70068027],roc_auc,6.0
29,ica,ridge,yes,no,yes,no,adnidod,80,3,correlation,no,139,[ 0.68253968],roc_auc,6.0
30,ica,svc_l1,yes,no,yes,no,adnidod,80,3,partial correlation,no,139,[ 0.64399093],roc_auc,6.0
31,ica,svc_l2,yes,no,yes,no,adnidod,80,3,partial correlation,no,139,[ 0.63718821],roc_auc,6.0
32,ica,ridge,yes,no,yes,no,adnidod,80,3,partial correlation,no,139,[ 0.63945578],roc_auc,6.0
33,ica,svc_l1,yes,no,yes,no,adnidod,80,3,tangent,no,139,[ 0.63038549],roc_auc,6.0
34,ica,svc_l2,yes,no,yes,no,adnidod,80,3,tangent,no,139,[ 0.69387755],roc_auc,6.0
35,ica,ridge,yes,no,yes,no,adnidod,80,3,tangent,no,139,[ 0.68253968],roc_auc,6.0
36,ica,svc_l1,yes,no,yes,no,adnidod,80,4,correlation,no,135,[ 0.52470588],roc_auc,6.0
37,ica,svc_l2,yes,no,yes,no,adnidod,80,4,correlation,no,135,[ 0.59764706],roc_auc,6.0
38,ica,ridge,yes,no,yes,no,adnidod,80,4,correlation,no,135,[ 0.59058824],roc_auc,6.0
39,ica,svc_l1,yes,no,yes,no,adnidod,80,4,partial correlation,no,135,[ 0.59058824],roc_auc,6.0
40,ica,svc_l2,yes,no,yes,no,adnidod,80,4,partial correlation,no,135,[ 0.64941176],roc_auc,6.0
41,ica,ridge,yes,no,yes,no,adnidod,80,4,partial correlation,no,135,[ 0.65176471],roc_auc,6.0
42,ica,svc_l1,yes,no,yes,no,adnidod,80,4,tangent,no,135,[ 0.61176471],roc_auc,6.0
43,ica,svc_l2,yes,no,yes,no,adnidod,80,4,tangent,no,135,[ 0.65882353],roc_auc,6.0
44,ica,ridge,yes,no,yes,no,adnidod,80,4,tangent,no,135,[ 0.65882353],roc_auc,6.0
45,ica,svc_l1,yes,no,yes,no,adnidod,80,5,correlation,no,133,[ 0.40430622],roc_auc,6.0
46,ica,svc_l2,yes,no,yes,no,adnidod,80,5,correlation,no,133,[ 0.51913876],roc_auc,6.0
47,ica,ridge,yes,no,yes,no,adnidod,80,5,correlation,no,133,[ 0.5215311],roc_auc,6.0
48,ica,svc_l1,yes,no,yes,no,adnidod,80,5,partial correlation,no,133,[ 0.54784689],roc_auc,6.0
49,ica,svc_l2,yes,no,yes,no,adnidod,80,5,partial correlation,no,133,[ 0.63636364],roc_auc,6.0
50,ica,ridge,yes,no,yes,no,adnidod,80,5,partial correlation,no,133,[ 0.63875598],roc_auc,6.0
51,ica,svc_l1,yes,no,yes,no,adnidod,80,5,tangent,no,133,[ 0.55502392],roc_auc,6.0
52,ica,svc_l2,yes,no,yes,no,adnidod,80,5,tangent,no,133,[ 0.64354067],roc_auc,6.0
53,ica,ridge,yes,no,yes,no,adnidod,80,5,tangent,no,133,[ 0.64114833],roc_auc,6.0
54,ica,svc_l1,yes,no,yes,no,adnidod,80,6,correlation,no,137,[ 0.53846154],roc_auc,6.0
55,ica,svc_l2,yes,no,yes,no,adnidod,80,6,correlation,no,137,[ 0.49002849],roc_auc,6.0
56,ica,ridge,yes,no,yes,no,adnidod,80,6,correlation,no,137,[ 0.49002849],roc_auc,6.0
57,ica,svc_l1,yes,no,yes,no,adnidod,80,6,partial correlation,no,137,[ 0.55555556],roc_auc,6.0
58,ica,svc_l2,yes,no,yes,no,adnidod,80,6,partial correlation,no,137,[ 0.78347578],roc_auc,6.0
59,ica,ridge,yes,no,yes,no,adnidod,80,6,partial correlation,no,137,[ 0.78062678],roc_auc,6.0
60,ica,svc_l1,yes,no,yes,no,adnidod,80,6,tangent,no,137,[ 0.52706553],roc_auc,6.0
61,ica,svc_l2,yes,no,yes,no,adnidod,80,6,tangent,no,137,[ 0.65811966],roc_auc,6.0
62,ica,ridge,yes,no,yes,no,adnidod,80,6,tangent,no,137,[ 0.65811966],roc_auc,6.0
63,ica,svc_l1,yes,no,yes,no,adnidod,80,7,correlation,no,133,[ 0.71014493],roc_auc,6.0
64,ica,svc_l2,yes,no,yes,no,adnidod,80,7,correlation,no,133,[ 0.65217391],roc_auc,6.0
65,ica,ridge,yes,no,yes,no,adnidod,80,7,correlation,no,133,[ 0.65217391],roc_auc,6.0
66,ica,svc_l1,yes,no,yes,no,adnidod,80,7,partial correlation,no,133,[ 0.71980676],roc_auc,6.0
67,ica,svc_l2,yes,no,yes,no,adnidod,80,7,partial correlation,no,133,[ 0.77536232],roc_auc,6.0
68,ica,ridge,yes,no,yes,no,adnidod,80,7,partial correlation,no,133,[ 0.77294686],roc_auc,6.0
69,ica,svc_l1,yes,no,yes,no,adnidod,80,7,tangent,no,133,[ 0.64251208],roc_auc,6.0
70,ica,svc_l2,yes,no,yes,no,adnidod,80,7,tangent,no,133,[ 0.78985507],roc_auc,6.0
71,ica,ridge,yes,no,yes,no,adnidod,80,7,tangent,no,133,[ 0.78985507],roc_auc,6.0
72,ica,svc_l1,yes,no,yes,no,adnidod,80,8,correlation,no,129,[ 0.7211329],roc_auc,6.0
73,ica,svc_l2,yes,no,yes,no,adnidod,80,8,correlation,no,129,[ 0.72766885],roc_auc,6.0
74,ica,ridge,yes,no,yes,no,adnidod,80,8,correlation,no,129,[ 0.7211329],roc_auc,6.0
75,ica,svc_l1,yes,no,yes,no,adnidod,80,8,partial correlation,no,129,[ 0.62745098],roc_auc,6.0
76,ica,svc_l2,yes,no,yes,no,adnidod,80,8,partial correlation,no,129,[ 0.62309368],roc_auc,6.0
77,ica,ridge,yes,no,yes,no,adnidod,80,8,partial correlation,no,129,[ 0.62091503],roc_auc,6.0
78,ica,svc_l1,yes,no,yes,no,adnidod,80,8,tangent,no,129,[ 0.68627451],roc_auc,6.0
79,ica,svc_l2,yes,no,yes,no,adnidod,80,8,tangent,no,129,[ 0.7037037],roc_auc,6.0
80,ica,ridge,yes,no,yes,no,adnidod,80,8,tangent,no,129,[ 0.7037037],roc_auc,6.0
81,ica,svc_l1,yes,no,yes,no,adnidod,80,9,correlation,no,136,[ 0.65413534],roc_auc,6.0
82,ica,svc_l2,yes,no,yes,no,adnidod,80,9,correlation,no,136,[ 0.63157895],roc_auc,6.0
83,ica,ridge,yes,no,yes,no,adnidod,80,9,correlation,no,136,[ 0.62593985],roc_auc,6.0
84,ica,svc_l1,yes,no,yes,no,adnidod,80,9,partial correlation,no,136,[ 0.4943609],roc_auc,6.0
85,ica,svc_l2,yes,no,yes,no,adnidod,80,9,partial correlation,no,136,[ 0.68045113],roc_auc,6.0
86,ica,ridge,yes,no,yes,no,adnidod,80,9,partial correlation,no,136,[ 0.68233083],roc_auc,6.0
87,ica,svc_l1,yes,no,yes,no,adnidod,80,9,tangent,no,136,[ 0.67481203],roc_auc,6.0
88,ica,svc_l2,yes,no,yes,no,adnidod,80,9,tangent,no,136,[ 0.67481203],roc_auc,6.0
89,ica,ridge,yes,no,yes,no,adnidod,80,9,tangent,no,136,[ 0.68045113],roc_auc,6.0
90,ica,svc_l1,yes,no,yes,no,adnidod,80,10,correlation,no,133,[ 0.69040248],roc_auc,6.0
91,ica,svc_l2,yes,no,yes,no,adnidod,80,10,correlation,no,133,[ 0.625387],roc_auc,6.0
92,ica,ridge,yes,no,yes,no,adnidod,80,10,correlation,no,133,[ 0.61919505],roc_auc,6.0
93,ica,svc_l1,yes,no,yes,no,adnidod,80,10,partial correlation,no,133,[ 0.74303406],roc_auc,6.0
94,ica,svc_l2,yes,no,yes,no,adnidod,80,10,partial correlation,no,133,[ 0.67801858],roc_auc,6.0
95,ica,ridge,yes,no,yes,no,adnidod,80,10,partial correlation,no,133,[ 0.67801858],roc_auc,6.0
96,ica,svc_l1,yes,no,yes,no,adnidod,80,10,tangent,no,133,[ 0.55108359],roc_auc,6.0
97,ica,svc_l2,yes,no,yes,no,adnidod,80,10,tangent,no,133,[ 0.71826625],roc_auc,6.0
98,ica,ridge,yes,no,yes,no,adnidod,80,10,tangent,no,133,[ 0.72136223],roc_auc,6.0
99,ica,svc_l1,yes,no,yes,no,adnidod,80,11,correlation,no,138,[ 0.54761905],roc_auc,6.0
100,ica,svc_l2,yes,no,yes,no,adnidod,80,11,correlation,no,138,[ 0.64718615],roc_auc,6.0
101,ica,ridge,yes,no,yes,no,adnidod,80,11,correlation,no,138,[ 0.64502165],roc_auc,6.0
102,ica,svc_l1,yes,no,yes,no,adnidod,80,11,partial correlation,no,138,[ 0.55411255],roc_auc,6.0
103,ica,svc_l2,yes,no,yes,no,adnidod,80,11,partial correlation,no,138,[ 0.71428571],roc_auc,6.0
104,ica,ridge,yes,no,yes,no,adnidod,80,11,partial correlation,no,138,[ 0.71645022],roc_auc,6.0
105,ica,svc_l1,yes,no,yes,no,adnidod,80,11,tangent,no,138,[ 0.60822511],roc_auc,6.0
106,ica,svc_l2,yes,no,yes,no,adnidod,80,11,tangent,no,138,[ 0.73809524],roc_auc,6.0
107,ica,ridge,yes,no,yes,no,adnidod,80,11,tangent,no,138,[ 0.74025974],roc_auc,6.0
108,ica,svc_l1,yes,no,yes,no,adnidod,80,12,correlation,no,135,[ 0.365],roc_auc,6.0
109,ica,svc_l2,yes,no,yes,no,adnidod,80,12,correlation,no,135,[ 0.425],roc_auc,6.0
110,ica,ridge,yes,no,yes,no,adnidod,80,12,correlation,no,135,[ 0.4325],roc_auc,6.0
111,ica,svc_l1,yes,no,yes,no,adnidod,80,12,partial correlation,no,135,[ 0.575],roc_auc,6.0
112,ica,svc_l2,yes,no,yes,no,adnidod,80,12,partial correlation,no,135,[ 0.5875],roc_auc,6.0
113,ica,ridge,yes,no,yes,no,adnidod,80,12,partial correlation,no,135,[ 0.5875],roc_auc,6.0
114,ica,svc_l1,yes,no,yes,no,adnidod,80,12,tangent,no,135,[ 0.365],roc_auc,6.0
115,ica,svc_l2,yes,no,yes,no,adnidod,80,12,tangent,no,135,[ 0.55],roc_auc,6.0
116,ica,ridge,yes,no,yes,no,adnidod,80,12,tangent,no,135,[ 0.55],roc_auc,6.0
117,ica,svc_l1,yes,no,yes,no,adnidod,80,13,correlation,no,137,[ 0.5],roc_auc,6.0
