,atlas,classifier,compcor_10,compute_confounds,confounds,connectome_regress,dataset,dimensionality,iter_shuffle_split,measure,motion_regress,n_regions,scores,scoring,smoothing_fwhm
0,kmeans,svc_l1,yes,no,yes,no,adnidod,120,0,correlation,no,120,[ 0.66315789],roc_auc,6.0
1,kmeans,svc_l2,yes,no,yes,no,adnidod,120,0,correlation,no,120,[ 0.73052632],roc_auc,6.0
2,kmeans,ridge,yes,no,yes,no,adnidod,120,0,correlation,no,120,[ 0.72842105],roc_auc,6.0
3,kmeans,svc_l1,yes,no,yes,no,adnidod,120,0,partial correlation,no,120,[ 0.66526316],roc_auc,6.0
4,kmeans,svc_l2,yes,no,yes,no,adnidod,120,0,partial correlation,no,120,[ 0.67157895],roc_auc,6.0
5,kmeans,ridge,yes,no,yes,no,adnidod,120,0,partial correlation,no,120,[ 0.67157895],roc_auc,6.0
6,kmeans,svc_l1,yes,no,yes,no,adnidod,120,0,tangent,no,120,[ 0.66315789],roc_auc,6.0
7,kmeans,svc_l2,yes,no,yes,no,adnidod,120,0,tangent,no,120,[ 0.68],roc_auc,6.0
8,kmeans,ridge,yes,no,yes,no,adnidod,120,0,tangent,no,120,[ 0.68],roc_auc,6.0
9,kmeans,svc_l1,yes,no,yes,no,adnidod,120,1,correlation,no,120,[ 0.38865546],roc_auc,6.0
10,kmeans,svc_l2,yes,no,yes,no,adnidod,120,1,correlation,no,120,[ 0.36134454],roc_auc,6.0
11,kmeans,ridge,yes,no,yes,no,adnidod,120,1,correlation,no,120,[ 0.37394958],roc_auc,6.0
12,kmeans,svc_l1,yes,no,yes,no,adnidod,120,1,partial correlation,no,120,[ 0.46218487],roc_auc,6.0
13,kmeans,svc_l2,yes,no,yes,no,adnidod,120,1,partial correlation,no,120,[ 0.36554622],roc_auc,6.0
14,kmeans,ridge,yes,no,yes,no,adnidod,120,1,partial correlation,no,120,[ 0.36344538],roc_auc,6.0
15,kmeans,svc_l1,yes,no,yes,no,adnidod,120,1,tangent,no,120,[ 0.35294118],roc_auc,6.0
16,kmeans,svc_l2,yes,no,yes,no,adnidod,120,1,tangent,no,120,[ 0.3802521],roc_auc,6.0
17,kmeans,ridge,yes,no,yes,no,adnidod,120,1,tangent,no,120,[ 0.38235294],roc_auc,6.0
18,kmeans,svc_l1,yes,no,yes,no,adnidod,120,2,correlation,no,120,[ 0.72932331],roc_auc,6.0
19,kmeans,svc_l2,yes,no,yes,no,adnidod,120,2,correlation,no,120,[ 0.60150376],roc_auc,6.0
20,kmeans,ridge,yes,no,yes,no,adnidod,120,2,correlation,no,120,[ 0.62155388],roc_auc,6.0
21,kmeans,svc_l1,yes,no,yes,no,adnidod,120,2,partial correlation,no,120,[ 0.61654135],roc_auc,6.0
22,kmeans,svc_l2,yes,no,yes,no,adnidod,120,2,partial correlation,no,120,[ 0.71428571],roc_auc,6.0
23,kmeans,ridge,yes,no,yes,no,adnidod,120,2,partial correlation,no,120,[ 0.71428571],roc_auc,6.0
24,kmeans,svc_l1,yes,no,yes,no,adnidod,120,2,tangent,no,120,[ 0.72180451],roc_auc,6.0
25,kmeans,svc_l2,yes,no,yes,no,adnidod,120,2,tangent,no,120,[ 0.70426065],roc_auc,6.0
26,kmeans,ridge,yes,no,yes,no,adnidod,120,2,tangent,no,120,[ 0.71177945],roc_auc,6.0
27,kmeans,svc_l1,yes,no,yes,no,adnidod,120,3,correlation,no,120,[ 0.71201814],roc_auc,6.0
28,kmeans,svc_l2,yes,no,yes,no,adnidod,120,3,correlation,no,120,[ 0.68253968],roc_auc,6.0
29,kmeans,ridge,yes,no,yes,no,adnidod,120,3,correlation,no,120,[ 0.66213152],roc_auc,6.0
30,kmeans,svc_l1,yes,no,yes,no,adnidod,120,3,partial correlation,no,120,[ 0.54648526],roc_auc,6.0
31,kmeans,svc_l2,yes,no,yes,no,adnidod,120,3,partial correlation,no,120,[ 0.69160998],roc_auc,6.0
32,kmeans,ridge,yes,no,yes,no,adnidod,120,3,partial correlation,no,120,[ 0.69160998],roc_auc,6.0
33,kmeans,svc_l1,yes,no,yes,no,adnidod,120,3,tangent,no,120,[ 0.6122449],roc_auc,6.0
34,kmeans,svc_l2,yes,no,yes,no,adnidod,120,3,tangent,no,120,[ 0.76417234],roc_auc,6.0
35,kmeans,ridge,yes,no,yes,no,adnidod,120,3,tangent,no,120,[ 0.76643991],roc_auc,6.0
36,kmeans,svc_l1,yes,no,yes,no,adnidod,120,4,correlation,no,120,[ 0.61647059],roc_auc,6.0
37,kmeans,svc_l2,yes,no,yes,no,adnidod,120,4,correlation,no,120,[ 0.61647059],roc_auc,6.0
38,kmeans,ridge,yes,no,yes,no,adnidod,120,4,correlation,no,120,[ 0.62823529],roc_auc,6.0
39,kmeans,svc_l1,yes,no,yes,no,adnidod,120,4,partial correlation,no,120,[ 0.38588235],roc_auc,6.0
40,kmeans,svc_l2,yes,no,yes,no,adnidod,120,4,partial correlation,no,120,[ 0.66352941],roc_auc,6.0
41,kmeans,ridge,yes,no,yes,no,adnidod,120,4,partial correlation,no,120,[ 0.66823529],roc_auc,6.0
42,kmeans,svc_l1,yes,no,yes,no,adnidod,120,4,tangent,no,120,[ 0.74823529],roc_auc,6.0
43,kmeans,svc_l2,yes,no,yes,no,adnidod,120,4,tangent,no,120,[ 0.68470588],roc_auc,6.0
44,kmeans,ridge,yes,no,yes,no,adnidod,120,4,tangent,no,120,[ 0.68235294],roc_auc,6.0
45,kmeans,svc_l1,yes,no,yes,no,adnidod,120,5,correlation,no,120,[ 0.55263158],roc_auc,6.0
46,kmeans,svc_l2,yes,no,yes,no,adnidod,120,5,correlation,no,120,[ 0.56220096],roc_auc,6.0
47,kmeans,ridge,yes,no,yes,no,adnidod,120,5,correlation,no,120,[ 0.56937799],roc_auc,6.0
48,kmeans,svc_l1,yes,no,yes,no,adnidod,120,5,partial correlation,no,120,[ 0.64354067],roc_auc,6.0
49,kmeans,svc_l2,yes,no,yes,no,adnidod,120,5,partial correlation,no,120,[ 0.63636364],roc_auc,6.0
50,kmeans,ridge,yes,no,yes,no,adnidod,120,5,partial correlation,no,120,[ 0.64114833],roc_auc,6.0
51,kmeans,svc_l1,yes,no,yes,no,adnidod,120,5,tangent,no,120,[ 0.70095694],roc_auc,6.0
52,kmeans,svc_l2,yes,no,yes,no,adnidod,120,5,tangent,no,120,[ 0.68660287],roc_auc,6.0
53,kmeans,ridge,yes,no,yes,no,adnidod,120,5,tangent,no,120,[ 0.68660287],roc_auc,6.0
54,kmeans,svc_l1,yes,no,yes,no,adnidod,120,6,correlation,no,120,[ 0.53276353],roc_auc,6.0
55,kmeans,svc_l2,yes,no,yes,no,adnidod,120,6,correlation,no,120,[ 0.5954416],roc_auc,6.0
56,kmeans,ridge,yes,no,yes,no,adnidod,120,6,correlation,no,120,[ 0.56410256],roc_auc,6.0
57,kmeans,svc_l1,yes,no,yes,no,adnidod,120,6,partial correlation,no,120,[ 0.5014245],roc_auc,6.0
