,atlas,classifier,compcor_10,compute_confounds,confounds,connectome_regress,dataset,dimensionality,iter_shuffle_split,measure,motion_regress,n_regions,scores,scoring,smoothing_fwhm
0,ward,svc_l1,yes,no,yes,no,adnidod,120,0,correlation,no,120,[ 0.55789474],roc_auc,6.0
1,ward,svc_l2,yes,no,yes,no,adnidod,120,0,correlation,no,120,[ 0.65894737],roc_auc,6.0
2,ward,ridge,yes,no,yes,no,adnidod,120,0,correlation,no,120,[ 0.64421053],roc_auc,6.0
3,ward,svc_l1,yes,no,yes,no,adnidod,120,0,partial correlation,no,120,[ 0.6],roc_auc,6.0
4,ward,svc_l2,yes,no,yes,no,adnidod,120,0,partial correlation,no,120,[ 0.74105263],roc_auc,6.0
5,ward,ridge,yes,no,yes,no,adnidod,120,0,partial correlation,no,120,[ 0.74105263],roc_auc,6.0
6,ward,svc_l1,yes,no,yes,no,adnidod,120,0,tangent,no,120,[ 0.62736842],roc_auc,6.0
7,ward,svc_l2,yes,no,yes,no,adnidod,120,0,tangent,no,120,[ 0.66947368],roc_auc,6.0
8,ward,ridge,yes,no,yes,no,adnidod,120,0,tangent,no,120,[ 0.66947368],roc_auc,6.0
9,ward,svc_l1,yes,no,yes,no,adnidod,120,1,correlation,no,120,[ 0.47058824],roc_auc,6.0
10,ward,svc_l2,yes,no,yes,no,adnidod,120,1,correlation,no,120,[ 0.44537815],roc_auc,6.0
11,ward,ridge,yes,no,yes,no,adnidod,120,1,correlation,no,120,[ 0.44117647],roc_auc,6.0
12,ward,svc_l1,yes,no,yes,no,adnidod,120,1,partial correlation,no,120,[ 0.51890756],roc_auc,6.0
13,ward,svc_l2,yes,no,yes,no,adnidod,120,1,partial correlation,no,120,[ 0.42226891],roc_auc,6.0
14,ward,ridge,yes,no,yes,no,adnidod,120,1,partial correlation,no,120,[ 0.42647059],roc_auc,6.0
15,ward,svc_l1,yes,no,yes,no,adnidod,120,1,tangent,no,120,[ 0.54201681],roc_auc,6.0
16,ward,svc_l2,yes,no,yes,no,adnidod,120,1,tangent,no,120,[ 0.37605042],roc_auc,6.0
17,ward,ridge,yes,no,yes,no,adnidod,120,1,tangent,no,120,[ 0.38235294],roc_auc,6.0
18,ward,svc_l1,yes,no,yes,no,adnidod,120,2,correlation,no,120,[ 0.56641604],roc_auc,6.0
19,ward,svc_l2,yes,no,yes,no,adnidod,120,2,correlation,no,120,[ 0.63909774],roc_auc,6.0
20,ward,ridge,yes,no,yes,no,adnidod,120,2,correlation,no,120,[ 0.62656642],roc_auc,6.0
21,ward,svc_l1,yes,no,yes,no,adnidod,120,2,partial correlation,no,120,[ 0.57393484],roc_auc,6.0
22,ward,svc_l2,yes,no,yes,no,adnidod,120,2,partial correlation,no,120,[ 0.839599],roc_auc,6.0
23,ward,ridge,yes,no,yes,no,adnidod,120,2,partial correlation,no,120,[ 0.83709273],roc_auc,6.0
24,ward,svc_l1,yes,no,yes,no,adnidod,120,2,tangent,no,120,[ 0.62656642],roc_auc,6.0
25,ward,svc_l2,yes,no,yes,no,adnidod,120,2,tangent,no,120,[ 0.72932331],roc_auc,6.0
26,ward,ridge,yes,no,yes,no,adnidod,120,2,tangent,no,120,[ 0.71929825],roc_auc,6.0
