,atlas,classifier,compcor_10,compute_confounds,confounds,connectome_regress,dataset,dimensionality,iter_shuffle_split,measure,motion_regress,n_regions,scores,scoring,smoothing_fwhm
0,dictlearn,svc_l1,yes,no,yes,no,adnidod,40,0,correlation,no,95,[ 0.50526316],roc_auc,6.0
1,dictlearn,svc_l2,yes,no,yes,no,adnidod,40,0,correlation,no,95,[ 0.55157895],roc_auc,6.0
2,dictlearn,ridge,yes,no,yes,no,adnidod,40,0,correlation,no,95,[ 0.55578947],roc_auc,6.0
3,dictlearn,svc_l1,yes,no,yes,no,adnidod,40,0,partial correlation,no,95,[ 0.49052632],roc_auc,6.0
4,dictlearn,svc_l2,yes,no,yes,no,adnidod,40,0,partial correlation,no,95,[ 0.58526316],roc_auc,6.0
5,dictlearn,ridge,yes,no,yes,no,adnidod,40,0,partial correlation,no,95,[ 0.58736842],roc_auc,6.0
6,dictlearn,svc_l1,yes,no,yes,no,adnidod,40,0,tangent,no,95,[ 0.54947368],roc_auc,6.0
7,dictlearn,svc_l2,yes,no,yes,no,adnidod,40,0,tangent,no,95,[ 0.57473684],roc_auc,6.0
8,dictlearn,ridge,yes,no,yes,no,adnidod,40,0,tangent,no,95,[ 0.57684211],roc_auc,6.0
9,dictlearn,svc_l1,yes,no,yes,no,adnidod,40,1,correlation,no,86,[ 0.49579832],roc_auc,6.0
10,dictlearn,svc_l2,yes,no,yes,no,adnidod,40,1,correlation,no,86,[ 0.47268908],roc_auc,6.0
11,dictlearn,ridge,yes,no,yes,no,adnidod,40,1,correlation,no,86,[ 0.4789916],roc_auc,6.0
12,dictlearn,svc_l1,yes,no,yes,no,adnidod,40,1,partial correlation,no,86,[ 0.42857143],roc_auc,6.0
13,dictlearn,svc_l2,yes,no,yes,no,adnidod,40,1,partial correlation,no,86,[ 0.46008403],roc_auc,6.0
14,dictlearn,ridge,yes,no,yes,no,adnidod,40,1,partial correlation,no,86,[ 0.46428571],roc_auc,6.0
15,dictlearn,svc_l1,yes,no,yes,no,adnidod,40,1,tangent,no,86,[ 0.46848739],roc_auc,6.0
16,dictlearn,svc_l2,yes,no,yes,no,adnidod,40,1,tangent,no,86,[ 0.40966387],roc_auc,6.0
17,dictlearn,ridge,yes,no,yes,no,adnidod,40,1,tangent,no,86,[ 0.40966387],roc_auc,6.0
18,dictlearn,svc_l1,yes,no,yes,no,adnidod,40,2,correlation,no,91,[ 0.68170426],roc_auc,6.0
19,dictlearn,svc_l2,yes,no,yes,no,adnidod,40,2,correlation,no,91,[ 0.65413534],roc_auc,6.0
20,dictlearn,ridge,yes,no,yes,no,adnidod,40,2,correlation,no,91,[ 0.65914787],roc_auc,6.0
21,dictlearn,svc_l1,yes,no,yes,no,adnidod,40,2,partial correlation,no,91,[ 0.57393484],roc_auc,6.0
22,dictlearn,svc_l2,yes,no,yes,no,adnidod,40,2,partial correlation,no,91,[ 0.55639098],roc_auc,6.0
23,dictlearn,ridge,yes,no,yes,no,adnidod,40,2,partial correlation,no,91,[ 0.55388471],roc_auc,6.0
24,dictlearn,svc_l1,yes,no,yes,no,adnidod,40,2,tangent,no,91,[ 0.5764411],roc_auc,6.0
25,dictlearn,svc_l2,yes,no,yes,no,adnidod,40,2,tangent,no,91,[ 0.60150376],roc_auc,6.0
26,dictlearn,ridge,yes,no,yes,no,adnidod,40,2,tangent,no,91,[ 0.61654135],roc_auc,6.0
27,dictlearn,svc_l1,yes,no,yes,no,adnidod,40,3,correlation,no,83,[ 0.75056689],roc_auc,6.0
28,dictlearn,svc_l2,yes,no,yes,no,adnidod,40,3,correlation,no,83,[ 0.71882086],roc_auc,6.0
29,dictlearn,ridge,yes,no,yes,no,adnidod,40,3,correlation,no,83,[ 0.71428571],roc_auc,6.0
30,dictlearn,svc_l1,yes,no,yes,no,adnidod,40,3,partial correlation,no,83,[ 0.69387755],roc_auc,6.0
31,dictlearn,svc_l2,yes,no,yes,no,adnidod,40,3,partial correlation,no,83,[ 0.67346939],roc_auc,6.0
32,dictlearn,ridge,yes,no,yes,no,adnidod,40,3,partial correlation,no,83,[ 0.66893424],roc_auc,6.0
33,dictlearn,svc_l1,yes,no,yes,no,adnidod,40,3,tangent,no,83,[ 0.6553288],roc_auc,6.0
34,dictlearn,svc_l2,yes,no,yes,no,adnidod,40,3,tangent,no,83,[ 0.71201814],roc_auc,6.0
35,dictlearn,ridge,yes,no,yes,no,adnidod,40,3,tangent,no,83,[ 0.71655329],roc_auc,6.0
36,dictlearn,svc_l1,yes,no,yes,no,adnidod,40,4,correlation,no,90,[ 0.50823529],roc_auc,6.0
37,dictlearn,svc_l2,yes,no,yes,no,adnidod,40,4,correlation,no,90,[ 0.54588235],roc_auc,6.0
38,dictlearn,ridge,yes,no,yes,no,adnidod,40,4,correlation,no,90,[ 0.54588235],roc_auc,6.0
39,dictlearn,svc_l1,yes,no,yes,no,adnidod,40,4,partial correlation,no,90,[ 0.61647059],roc_auc,6.0
40,dictlearn,svc_l2,yes,no,yes,no,adnidod,40,4,partial correlation,no,90,[ 0.56235294],roc_auc,6.0
41,dictlearn,ridge,yes,no,yes,no,adnidod,40,4,partial correlation,no,90,[ 0.56235294],roc_auc,6.0
42,dictlearn,svc_l1,yes,no,yes,no,adnidod,40,4,tangent,no,90,[ 0.54352941],roc_auc,6.0
43,dictlearn,svc_l2,yes,no,yes,no,adnidod,40,4,tangent,no,90,[ 0.54352941],roc_auc,6.0
44,dictlearn,ridge,yes,no,yes,no,adnidod,40,4,tangent,no,90,[ 0.54352941],roc_auc,6.0
45,dictlearn,svc_l1,yes,no,yes,no,adnidod,40,5,correlation,no,87,[ 0.69138756],roc_auc,6.0
46,dictlearn,svc_l2,yes,no,yes,no,adnidod,40,5,correlation,no,87,[ 0.68181818],roc_auc,6.0
47,dictlearn,ridge,yes,no,yes,no,adnidod,40,5,correlation,no,87,[ 0.67942584],roc_auc,6.0
48,dictlearn,svc_l1,yes,no,yes,no,adnidod,40,5,partial correlation,no,87,[ 0.69138756],roc_auc,6.0
49,dictlearn,svc_l2,yes,no,yes,no,adnidod,40,5,partial correlation,no,87,[ 0.70574163],roc_auc,6.0
50,dictlearn,ridge,yes,no,yes,no,adnidod,40,5,partial correlation,no,87,[ 0.70813397],roc_auc,6.0
51,dictlearn,svc_l1,yes,no,yes,no,adnidod,40,5,tangent,no,87,[ 0.56937799],roc_auc,6.0
52,dictlearn,svc_l2,yes,no,yes,no,adnidod,40,5,tangent,no,87,[ 0.68660287],roc_auc,6.0
53,dictlearn,ridge,yes,no,yes,no,adnidod,40,5,tangent,no,87,[ 0.68421053],roc_auc,6.0
54,dictlearn,svc_l1,yes,no,yes,no,adnidod,40,6,correlation,no,84,[ 0.60968661],roc_auc,6.0
55,dictlearn,svc_l2,yes,no,yes,no,adnidod,40,6,correlation,no,84,[ 0.53846154],roc_auc,6.0
56,dictlearn,ridge,yes,no,yes,no,adnidod,40,6,correlation,no,84,[ 0.53276353],roc_auc,6.0
57,dictlearn,svc_l1,yes,no,yes,no,adnidod,40,6,partial correlation,no,84,[ 0.65242165],roc_auc,6.0
58,dictlearn,svc_l2,yes,no,yes,no,adnidod,40,6,partial correlation,no,84,[ 0.65811966],roc_auc,6.0
59,dictlearn,ridge,yes,no,yes,no,adnidod,40,6,partial correlation,no,84,[ 0.65811966],roc_auc,6.0
60,dictlearn,svc_l1,yes,no,yes,no,adnidod,40,6,tangent,no,84,[ 0.66381766],roc_auc,6.0
61,dictlearn,svc_l2,yes,no,yes,no,adnidod,40,6,tangent,no,84,[ 0.58119658],roc_auc,6.0
62,dictlearn,ridge,yes,no,yes,no,adnidod,40,6,tangent,no,84,[ 0.58404558],roc_auc,6.0
63,dictlearn,svc_l1,yes,no,yes,no,adnidod,40,7,correlation,no,86,[ 0.69323671],roc_auc,6.0
64,dictlearn,svc_l2,yes,no,yes,no,adnidod,40,7,correlation,no,86,[ 0.70289855],roc_auc,6.0
65,dictlearn,ridge,yes,no,yes,no,adnidod,40,7,correlation,no,86,[ 0.70048309],roc_auc,6.0
66,dictlearn,svc_l1,yes,no,yes,no,adnidod,40,7,partial correlation,no,86,[ 0.56521739],roc_auc,6.0
67,dictlearn,svc_l2,yes,no,yes,no,adnidod,40,7,partial correlation,no,86,[ 0.65700483],roc_auc,6.0
68,dictlearn,ridge,yes,no,yes,no,adnidod,40,7,partial correlation,no,86,[ 0.66183575],roc_auc,6.0
69,dictlearn,svc_l1,yes,no,yes,no,adnidod,40,7,tangent,no,86,[ 0.66666667],roc_auc,6.0
70,dictlearn,svc_l2,yes,no,yes,no,adnidod,40,7,tangent,no,86,[ 0.76811594],roc_auc,6.0
71,dictlearn,ridge,yes,no,yes,no,adnidod,40,7,tangent,no,86,[ 0.76811594],roc_auc,6.0
72,dictlearn,svc_l1,yes,no,yes,no,adnidod,40,8,correlation,no,88,[ 0.73202614],roc_auc,6.0
73,dictlearn,svc_l2,yes,no,yes,no,adnidod,40,8,correlation,no,88,[ 0.8583878],roc_auc,6.0
74,dictlearn,ridge,yes,no,yes,no,adnidod,40,8,correlation,no,88,[ 0.86056645],roc_auc,6.0
75,dictlearn,svc_l1,yes,no,yes,no,adnidod,40,8,partial correlation,no,88,[ 0.62309368],roc_auc,6.0
76,dictlearn,svc_l2,yes,no,yes,no,adnidod,40,8,partial correlation,no,88,[ 0.66013072],roc_auc,6.0
77,dictlearn,ridge,yes,no,yes,no,adnidod,40,8,partial correlation,no,88,[ 0.66230937],roc_auc,6.0
78,dictlearn,svc_l1,yes,no,yes,no,adnidod,40,8,tangent,no,88,[ 0.78431373],roc_auc,6.0
79,dictlearn,svc_l2,yes,no,yes,no,adnidod,40,8,tangent,no,88,[ 0.76688453],roc_auc,6.0
80,dictlearn,ridge,yes,no,yes,no,adnidod,40,8,tangent,no,88,[ 0.76470588],roc_auc,6.0
81,dictlearn,svc_l1,yes,no,yes,no,adnidod,40,9,correlation,no,84,[ 0.56954887],roc_auc,6.0
