,atlas,classifier,compcor_10,compute_confounds,confounds,connectome_regress,dataset,dimensionality,iter_shuffle_split,measure,motion_regress,n_regions,scores,scoring,smoothing_fwhm
0,ward,svc_l1,yes,no,yes,no,adnidod,300,0,correlation,no,120,[ 0.73684211],roc_auc,6.0
1,ward,svc_l2,yes,no,yes,no,adnidod,300,0,correlation,no,120,[ 0.63368421],roc_auc,6.0
2,ward,ridge,yes,no,yes,no,adnidod,300,0,correlation,no,120,[ 0.64421053],roc_auc,6.0
3,ward,svc_l1,yes,no,yes,no,adnidod,300,0,partial correlation,no,120,[ 0.53894737],roc_auc,6.0
4,ward,svc_l2,yes,no,yes,no,adnidod,300,0,partial correlation,no,120,[ 0.73684211],roc_auc,6.0
5,ward,ridge,yes,no,yes,no,adnidod,300,0,partial correlation,no,120,[ 0.73263158],roc_auc,6.0
6,ward,svc_l1,yes,no,yes,no,adnidod,300,0,tangent,no,120,[ 0.67368421],roc_auc,6.0
7,ward,svc_l2,yes,no,yes,no,adnidod,300,0,tangent,no,120,[ 0.69052632],roc_auc,6.0
8,ward,ridge,yes,no,yes,no,adnidod,300,0,tangent,no,120,[ 0.68421053],roc_auc,6.0
9,ward,svc_l1,yes,no,yes,no,adnidod,300,1,correlation,no,120,[ 0.56092437],roc_auc,6.0
10,ward,svc_l2,yes,no,yes,no,adnidod,300,1,correlation,no,120,[ 0.47058824],roc_auc,6.0
11,ward,ridge,yes,no,yes,no,adnidod,300,1,correlation,no,120,[ 0.48739496],roc_auc,6.0
12,ward,svc_l1,yes,no,yes,no,adnidod,300,1,partial correlation,no,120,[ 0.3907563],roc_auc,6.0
13,ward,svc_l2,yes,no,yes,no,adnidod,300,1,partial correlation,no,120,[ 0.46008403],roc_auc,6.0
14,ward,ridge,yes,no,yes,no,adnidod,300,1,partial correlation,no,120,[ 0.46008403],roc_auc,6.0
15,ward,svc_l1,yes,no,yes,no,adnidod,300,1,tangent,no,120,[ 0.5105042],roc_auc,6.0
16,ward,svc_l2,yes,no,yes,no,adnidod,300,1,tangent,no,120,[ 0.4012605],roc_auc,6.0
17,ward,ridge,yes,no,yes,no,adnidod,300,1,tangent,no,120,[ 0.40336134],roc_auc,6.0
18,ward,svc_l1,yes,no,yes,no,adnidod,300,2,correlation,no,120,[ 0.68421053],roc_auc,6.0
19,ward,svc_l2,yes,no,yes,no,adnidod,300,2,correlation,no,120,[ 0.73684211],roc_auc,6.0
20,ward,ridge,yes,no,yes,no,adnidod,300,2,correlation,no,120,[ 0.7518797],roc_auc,6.0
21,ward,svc_l1,yes,no,yes,no,adnidod,300,2,partial correlation,no,120,[ 0.69423559],roc_auc,6.0
22,ward,svc_l2,yes,no,yes,no,adnidod,300,2,partial correlation,no,120,[ 0.68671679],roc_auc,6.0
23,ward,ridge,yes,no,yes,no,adnidod,300,2,partial correlation,no,120,[ 0.68671679],roc_auc,6.0
24,ward,svc_l1,yes,no,yes,no,adnidod,300,2,tangent,no,120,[ 0.87969925],roc_auc,6.0
25,ward,svc_l2,yes,no,yes,no,adnidod,300,2,tangent,no,120,[ 0.72932331],roc_auc,6.0
26,ward,ridge,yes,no,yes,no,adnidod,300,2,tangent,no,120,[ 0.73182957],roc_auc,6.0
27,ward,svc_l1,yes,no,yes,no,adnidod,300,3,correlation,no,120,[ 0.71655329],roc_auc,6.0
28,ward,svc_l2,yes,no,yes,no,adnidod,300,3,correlation,no,120,[ 0.83900227],roc_auc,6.0
29,ward,ridge,yes,no,yes,no,adnidod,300,3,correlation,no,120,[ 0.81632653],roc_auc,6.0
30,ward,svc_l1,yes,no,yes,no,adnidod,300,3,partial correlation,no,120,[ 0.61451247],roc_auc,6.0
31,ward,svc_l2,yes,no,yes,no,adnidod,300,3,partial correlation,no,120,[ 0.65986395],roc_auc,6.0
32,ward,ridge,yes,no,yes,no,adnidod,300,3,partial correlation,no,120,[ 0.65759637],roc_auc,6.0
33,ward,svc_l1,yes,no,yes,no,adnidod,300,3,tangent,no,120,[ 0.48072562],roc_auc,6.0
34,ward,svc_l2,yes,no,yes,no,adnidod,300,3,tangent,no,120,[ 0.6984127],roc_auc,6.0
35,ward,ridge,yes,no,yes,no,adnidod,300,3,tangent,no,120,[ 0.72789116],roc_auc,6.0
36,ward,svc_l1,yes,no,yes,no,adnidod,300,4,correlation,no,120,[ 0.69647059],roc_auc,6.0
37,ward,svc_l2,yes,no,yes,no,adnidod,300,4,correlation,no,120,[ 0.68705882],roc_auc,6.0
38,ward,ridge,yes,no,yes,no,adnidod,300,4,correlation,no,120,[ 0.67764706],roc_auc,6.0
39,ward,svc_l1,yes,no,yes,no,adnidod,300,4,partial correlation,no,120,[ 0.74117647],roc_auc,6.0
40,ward,svc_l2,yes,no,yes,no,adnidod,300,4,partial correlation,no,120,[ 0.65411765],roc_auc,6.0
41,ward,ridge,yes,no,yes,no,adnidod,300,4,partial correlation,no,120,[ 0.65411765],roc_auc,6.0
42,ward,svc_l1,yes,no,yes,no,adnidod,300,4,tangent,no,120,[ 0.68941176],roc_auc,6.0
43,ward,svc_l2,yes,no,yes,no,adnidod,300,4,tangent,no,120,[ 0.63529412],roc_auc,6.0
44,ward,ridge,yes,no,yes,no,adnidod,300,4,tangent,no,120,[ 0.64941176],roc_auc,6.0
45,ward,svc_l1,yes,no,yes,no,adnidod,300,5,correlation,no,120,[ 0.51674641],roc_auc,6.0
46,ward,svc_l2,yes,no,yes,no,adnidod,300,5,correlation,no,120,[ 0.44736842],roc_auc,6.0
