,atlas,classifier,compcor_10,compute_confounds,confounds,connectome_regress,dataset,dimensionality,iter_shuffle_split,measure,motion_regress,n_regions,scores,scoring,smoothing_fwhm
0,ward,svc_l1,yes,no,yes,no,adnidod,60,0,correlation,no,120,[ 0.54526316],roc_auc,6.0
1,ward,svc_l2,yes,no,yes,no,adnidod,60,0,correlation,no,120,[ 0.63157895],roc_auc,6.0
2,ward,ridge,yes,no,yes,no,adnidod,60,0,correlation,no,120,[ 0.62315789],roc_auc,6.0
3,ward,svc_l1,yes,no,yes,no,adnidod,60,0,partial correlation,no,120,[ 0.60842105],roc_auc,6.0
4,ward,svc_l2,yes,no,yes,no,adnidod,60,0,partial correlation,no,120,[ 0.71368421],roc_auc,6.0
5,ward,ridge,yes,no,yes,no,adnidod,60,0,partial correlation,no,120,[ 0.71157895],roc_auc,6.0
6,ward,svc_l1,yes,no,yes,no,adnidod,60,0,tangent,no,120,[ 0.64421053],roc_auc,6.0
7,ward,svc_l2,yes,no,yes,no,adnidod,60,0,tangent,no,120,[ 0.68631579],roc_auc,6.0
8,ward,ridge,yes,no,yes,no,adnidod,60,0,tangent,no,120,[ 0.68842105],roc_auc,6.0
9,ward,svc_l1,yes,no,yes,no,adnidod,60,1,correlation,no,120,[ 0.44537815],roc_auc,6.0
10,ward,svc_l2,yes,no,yes,no,adnidod,60,1,correlation,no,120,[ 0.42436975],roc_auc,6.0
11,ward,ridge,yes,no,yes,no,adnidod,60,1,correlation,no,120,[ 0.44747899],roc_auc,6.0
12,ward,svc_l1,yes,no,yes,no,adnidod,60,1,partial correlation,no,120,[ 0.47689076],roc_auc,6.0
13,ward,svc_l2,yes,no,yes,no,adnidod,60,1,partial correlation,no,120,[ 0.43487395],roc_auc,6.0
14,ward,ridge,yes,no,yes,no,adnidod,60,1,partial correlation,no,120,[ 0.43487395],roc_auc,6.0
15,ward,svc_l1,yes,no,yes,no,adnidod,60,1,tangent,no,120,[ 0.59033613],roc_auc,6.0
16,ward,svc_l2,yes,no,yes,no,adnidod,60,1,tangent,no,120,[ 0.41596639],roc_auc,6.0
17,ward,ridge,yes,no,yes,no,adnidod,60,1,tangent,no,120,[ 0.42436975],roc_auc,6.0
18,ward,svc_l1,yes,no,yes,no,adnidod,60,2,correlation,no,120,[ 0.57393484],roc_auc,6.0
19,ward,svc_l2,yes,no,yes,no,adnidod,60,2,correlation,no,120,[ 0.49122807],roc_auc,6.0
20,ward,ridge,yes,no,yes,no,adnidod,60,2,correlation,no,120,[ 0.46365915],roc_auc,6.0
21,ward,svc_l1,yes,no,yes,no,adnidod,60,2,partial correlation,no,120,[ 0.60651629],roc_auc,6.0
22,ward,svc_l2,yes,no,yes,no,adnidod,60,2,partial correlation,no,120,[ 0.67669173],roc_auc,6.0
23,ward,ridge,yes,no,yes,no,adnidod,60,2,partial correlation,no,120,[ 0.67669173],roc_auc,6.0
24,ward,svc_l1,yes,no,yes,no,adnidod,60,2,tangent,no,120,[ 0.66666667],roc_auc,6.0
25,ward,svc_l2,yes,no,yes,no,adnidod,60,2,tangent,no,120,[ 0.62907268],roc_auc,6.0
26,ward,ridge,yes,no,yes,no,adnidod,60,2,tangent,no,120,[ 0.62907268],roc_auc,6.0
27,ward,svc_l1,yes,no,yes,no,adnidod,60,3,correlation,no,120,[ 0.53968254],roc_auc,6.0
28,ward,svc_l2,yes,no,yes,no,adnidod,60,3,correlation,no,120,[ 0.68253968],roc_auc,6.0
29,ward,ridge,yes,no,yes,no,adnidod,60,3,correlation,no,120,[ 0.68027211],roc_auc,6.0
30,ward,svc_l1,yes,no,yes,no,adnidod,60,3,partial correlation,no,120,[ 0.430839],roc_auc,6.0
31,ward,svc_l2,yes,no,yes,no,adnidod,60,3,partial correlation,no,120,[ 0.47619048],roc_auc,6.0
32,ward,ridge,yes,no,yes,no,adnidod,60,3,partial correlation,no,120,[ 0.47165533],roc_auc,6.0
33,ward,svc_l1,yes,no,yes,no,adnidod,60,3,tangent,no,120,[ 0.48979592],roc_auc,6.0
34,ward,svc_l2,yes,no,yes,no,adnidod,60,3,tangent,no,120,[ 0.61451247],roc_auc,6.0
35,ward,ridge,yes,no,yes,no,adnidod,60,3,tangent,no,120,[ 0.61451247],roc_auc,6.0
36,ward,svc_l1,yes,no,yes,no,adnidod,60,4,correlation,no,120,[ 0.65647059],roc_auc,6.0
37,ward,svc_l2,yes,no,yes,no,adnidod,60,4,correlation,no,120,[ 0.64941176],roc_auc,6.0
38,ward,ridge,yes,no,yes,no,adnidod,60,4,correlation,no,120,[ 0.65882353],roc_auc,6.0
39,ward,svc_l1,yes,no,yes,no,adnidod,60,4,partial correlation,no,120,[ 0.60470588],roc_auc,6.0
40,ward,svc_l2,yes,no,yes,no,adnidod,60,4,partial correlation,no,120,[ 0.65176471],roc_auc,6.0
41,ward,ridge,yes,no,yes,no,adnidod,60,4,partial correlation,no,120,[ 0.64705882],roc_auc,6.0
42,ward,svc_l1,yes,no,yes,no,adnidod,60,4,tangent,no,120,[ 0.62823529],roc_auc,6.0
43,ward,svc_l2,yes,no,yes,no,adnidod,60,4,tangent,no,120,[ 0.66588235],roc_auc,6.0
44,ward,ridge,yes,no,yes,no,adnidod,60,4,tangent,no,120,[ 0.66588235],roc_auc,6.0
45,ward,svc_l1,yes,no,yes,no,adnidod,60,5,correlation,no,120,[ 0.61004785],roc_auc,6.0
46,ward,svc_l2,yes,no,yes,no,adnidod,60,5,correlation,no,120,[ 0.57177033],roc_auc,6.0
47,ward,ridge,yes,no,yes,no,adnidod,60,5,correlation,no,120,[ 0.61244019],roc_auc,6.0
48,ward,svc_l1,yes,no,yes,no,adnidod,60,5,partial correlation,no,120,[ 0.54784689],roc_auc,6.0
49,ward,svc_l2,yes,no,yes,no,adnidod,60,5,partial correlation,no,120,[ 0.59569378],roc_auc,6.0
50,ward,ridge,yes,no,yes,no,adnidod,60,5,partial correlation,no,120,[ 0.59090909],roc_auc,6.0
51,ward,svc_l1,yes,no,yes,no,adnidod,60,5,tangent,no,120,[ 0.54784689],roc_auc,6.0
52,ward,svc_l2,yes,no,yes,no,adnidod,60,5,tangent,no,120,[ 0.64593301],roc_auc,6.0
53,ward,ridge,yes,no,yes,no,adnidod,60,5,tangent,no,120,[ 0.64593301],roc_auc,6.0
54,ward,svc_l1,yes,no,yes,no,adnidod,60,6,correlation,no,120,[ 0.7037037],roc_auc,6.0
