,atlas,classifier,compcor_10,compute_confounds,confounds,connectome_regress,dataset,dimensionality,iter_shuffle_split,measure,motion_regress,n_regions,scores,scoring,smoothing_fwhm
0,kmeans,svc_l1,yes,no,yes,no,adnidod,200,0,correlation,no,120,[ 0.59789474],roc_auc,6.0
1,kmeans,svc_l2,yes,no,yes,no,adnidod,200,0,correlation,no,120,[ 0.64631579],roc_auc,6.0
2,kmeans,ridge,yes,no,yes,no,adnidod,200,0,correlation,no,120,[ 0.66315789],roc_auc,6.0
3,kmeans,svc_l1,yes,no,yes,no,adnidod,200,0,partial correlation,no,120,[ 0.63578947],roc_auc,6.0
4,kmeans,svc_l2,yes,no,yes,no,adnidod,200,0,partial correlation,no,120,[ 0.65684211],roc_auc,6.0
5,kmeans,ridge,yes,no,yes,no,adnidod,200,0,partial correlation,no,120,[ 0.65684211],roc_auc,6.0
6,kmeans,svc_l1,yes,no,yes,no,adnidod,200,0,tangent,no,120,[ 0.62315789],roc_auc,6.0
7,kmeans,svc_l2,yes,no,yes,no,adnidod,200,0,tangent,no,120,[ 0.66315789],roc_auc,6.0
8,kmeans,ridge,yes,no,yes,no,adnidod,200,0,tangent,no,120,[ 0.66105263],roc_auc,6.0
9,kmeans,svc_l1,yes,no,yes,no,adnidod,200,1,correlation,no,120,[ 0.38655462],roc_auc,6.0
10,kmeans,svc_l2,yes,no,yes,no,adnidod,200,1,correlation,no,120,[ 0.42647059],roc_auc,6.0
11,kmeans,ridge,yes,no,yes,no,adnidod,200,1,correlation,no,120,[ 0.43697479],roc_auc,6.0
12,kmeans,svc_l1,yes,no,yes,no,adnidod,200,1,partial correlation,no,120,[ 0.50210084],roc_auc,6.0
13,kmeans,svc_l2,yes,no,yes,no,adnidod,200,1,partial correlation,no,120,[ 0.48739496],roc_auc,6.0
14,kmeans,ridge,yes,no,yes,no,adnidod,200,1,partial correlation,no,120,[ 0.48529412],roc_auc,6.0
15,kmeans,svc_l1,yes,no,yes,no,adnidod,200,1,tangent,no,120,[ 0.53361345],roc_auc,6.0
16,kmeans,svc_l2,yes,no,yes,no,adnidod,200,1,tangent,no,120,[ 0.43907563],roc_auc,6.0
17,kmeans,ridge,yes,no,yes,no,adnidod,200,1,tangent,no,120,[ 0.43487395],roc_auc,6.0
18,kmeans,svc_l1,yes,no,yes,no,adnidod,200,2,correlation,no,120,[ 0.74686717],roc_auc,6.0
19,kmeans,svc_l2,yes,no,yes,no,adnidod,200,2,correlation,no,120,[ 0.75438596],roc_auc,6.0
20,kmeans,ridge,yes,no,yes,no,adnidod,200,2,correlation,no,120,[ 0.7593985],roc_auc,6.0
21,kmeans,svc_l1,yes,no,yes,no,adnidod,200,2,partial correlation,no,120,[ 0.67669173],roc_auc,6.0
22,kmeans,svc_l2,yes,no,yes,no,adnidod,200,2,partial correlation,no,120,[ 0.74937343],roc_auc,6.0
23,kmeans,ridge,yes,no,yes,no,adnidod,200,2,partial correlation,no,120,[ 0.75438596],roc_auc,6.0
24,kmeans,svc_l1,yes,no,yes,no,adnidod,200,2,tangent,no,120,[ 0.72180451],roc_auc,6.0
25,kmeans,svc_l2,yes,no,yes,no,adnidod,200,2,tangent,no,120,[ 0.7443609],roc_auc,6.0
